term,definition          
"**multiple regression**","A regression with multiple explanatory variables, but only one dependent variable"
"**linear regression**","A regression based on a linear model"
"**ordinary least squares**","A linear regression that estimates parameters by minimizing the squared error of the residuals"
"**spurious relationship**","A relationship between two variables that is caused by a statistical artifact or a factor, not included in the model, that is related to both variables"
"**control variable**","A variable included in a regression to eliminate or 'control for' a spurious relationship"
"**proxy variable**","A variable that contributes information to a regression model indirectly because of a relationship with another factor, so it acts as a proxy for that factor"
"**categorical variable**","A variable that can have one of a discrete set of unordered values"
"**join**","An operation that combines data from two DataFrames using a key to match up rows in the two frames"
"**data mining**","An approach to finding relationships between variables by testing a large number of models"
"**logistic regression**","A form of regression used when the dependent variable is boolean"
"**Poisson regression**","A form of regression used when the dependent variable is a non-negative integer, usually a count"
"**odds**","An alternative way of representing a probability, P, as the ratio of the probability and its complement, P / (1-P).",           "**time series**","A dataset where each value is associated with a timestamp, often a series of measurements and the times they were collected"
"**window**","A sequence of consecutive values in a time series, often used to compute a moving average"
"**moving average**","One of several statistics intended to estimate the underlying trend in a time series by computing averages (of some kind) for a series of overlapping windows"
"**rolling mean**","A moving average based on the mean value in each window"
"**exponentially-weighted moving average (EWMA)**","A moving average based on a weighted mean that gives the highest weight to the most recent values, and exponentially decreasing weights to earlier values"
"**span**","A parameter of EWMA (exponentially-weighted moving average) that determines how quickly the weights decrease"
"**serial correlation**","Correlation between a time series and a shifted or lagged version of itself"
"**lag**","The size of the shift in a serial correlation or autocorrelation"
"**autocorrelation**","A more general term for a serial correlation with any amount of lag"
"**autocorrelation function**","A function that maps from lag to serial correlation"
"**stationary**","A model is stationary if the parameters and the distribution of residuals does not change over time"
"**survival analysis**","A set of methods for describing and predicting lifetimes, or more generally time until an event occurs"
"**survival curve**","A function that maps from a time, $t$, to the probability of surviving past $t$"
"**hazard function**","A function that maps from $t$ to the fraction of people alive until $t$ who die at $t$"
"**Kaplan-Meier estimation**","An algorithm for estimating hazard and survival functions"
"**cohort**","a group of subjects defined by an event, like date of birth, in a particular interval of time"
"**cohort effect**","a difference between cohorts"
"**NBUE**","A property of expected remaining lifetime, 'New better than used in expectation.'"
"**UBNE**","A property of expected remaining lifetime, 'Used better than new in expectation.'"
